	Date	User	Tweet	Coordinates	Location
0	2023-02-05 17:02:24+00:00	DankMukund	@sakitechonline Ease, Apple Provides 6 Major Software Updates.		 Gotham
1	2023-02-05 16:21:39+00:00	imalilsaiko_	people who say orange juice is better than apple juice dont brush their tongue facts		Gotham 
2	2023-02-05 15:38:19+00:00	NudgeCloud	"@humanpilot It's Dieter Rams's world and we just live in it.

Without Rams there would be no Ive-sian Apple."		East Midlands
3	2023-02-05 15:33:50+00:00	LeilaGriffiths	@DoctorAnarchist Apples, lamb, carrots. (This is taking common allergies into account)		East Midlands, England
4	2023-02-05 15:16:04+00:00	woodboroughpark	@OliverDowding Variety of hardwoods. Oak, beech, sweet chestnut, maple, hornbeam, silver bitch, crab apple etc		Nottingham, UK
5	2023-02-05 14:49:19+00:00	AdiRice1	"Tells us everything we need to know &amp; the payment restrictions cannot be removed 
Use #SaitaPro from #Saitama it's a groundbreaking #defi wallet with it's very own #SaitaCard powered by #visa &amp; #EpayMe 
Download it now in the Apple / Google play store
Find out more @WeAreSaitama"		Nottingham, England
6	2023-02-05 13:35:35+00:00	andrewglynch	@allcopymel Looks like you need an apple corer corer		Nottingham, England
7	2023-02-05 13:35:02+00:00	benniekara	I don’t know what I expected, but I just had a McDonald’s Apple Pie in a fit of nostalgia and it was TINY. https://t.co/UzyfjgX9tF		Derby, England
8	2023-02-05 13:32:00+00:00	debramac8	@Jacob_Rees_Mogg You do spout some absolute twaddle. You ale soused apple john		Beeston, England
9	2023-02-05 13:31:18+00:00	bramley_fc	"FT: AFC Coddington 1-2 Bramley Apple 

Goals either side of half time by B.Childs and @ChrisRi90679989 secure Bramley’s second win of the season 💪🏼

🍏⚽️🍏⚽️"		Southwell, England
10	2023-02-05 13:24:08+00:00	CaesarDameXii	@AbdulWa23583324 @mtgproductionss @its_shevi Lies. No one reputable has ever said such a thing. Even Apple haters admit how iPad is the best tablet on the market.		Gotham
11	2023-02-05 12:08:00+00:00	Makinov	@MrTom Insider tip. Cause a scene in Apple and they’ll usually relent. I remember when I worked there when the iPads first came out, we had a display of giant iPads in the window. Guy in there wasn’t watching his son belt around the store, son ran into display, and knocked one over…		Nottingham, England
