date,username,tweet,near
2023-02-05,dankmukund,"@sakitechonline Ease, Apple Provides 6 Major Software Updates.",
2023-02-05,imalilsaiko_,people who say orange juice is better than apple juice dont brush their tongue facts,
2023-02-05,nudgecloud,@humanpilot It's Dieter Rams's world and we just live in it.  Without Rams there would be no Ive-sian Apple.,
2023-02-05,leilagriffiths,"@DoctorAnarchist Apples, lamb, carrots. (This is taking common allergies into account)",
2023-02-05,woodboroughpark,"@OliverDowding Variety of hardwoods. Oak, beech, sweet chestnut, maple, hornbeam, silver bitch, crab apple etc",
2023-02-05,adirice1,Tells us everything we need to know &amp; the payment restrictions cannot be removed  Use #SaitaPro from #Saitama it's a groundbreaking #defi wallet with it's very own #SaitaCard powered by #visa &amp; #EpayMe  Download it now in the Apple / Google play store Find out more @WeAreSaitama,
2023-02-05,andrewglynch,@allcopymel Looks like you need an apple corer corer,
2023-02-05,debramac8,@Jacob_Rees_Mogg You do spout some absolute twaddle. You ale soused apple john,
2023-02-05,caesardamexii,@AbdulWa23583324 @mtgproductionss @its_shevi Lies. No one reputable has ever said such a thing. Even Apple haters admit how iPad is the best tablet on the market.,
2023-02-05,makinov,"@MrTom Insider tip. Cause a scene in Apple and they’ll usually relent. I remember when I worked there when the iPads first came out, we had a display of giant iPads in the window. Guy in there wasn’t watching his son belt around the store, son ran into display, and knocked one over…",
2023-02-05,vampdavegrohl,My 3 year old who usually exists purely on treats and pasta has just asked for *and eaten* a whole banana and a whole apple.   I am shook.  https://t.co/IRtomLc0sF,
2023-02-05,azraelsgaming,@Rhiiinoo_ @PubtestCom Few bad apples and all that,
2023-02-05,suckerforanime1,I never knew I would like peanut butter and apples that’s a healthy and tasty snack,
2023-02-05,itsemmanffc,Never known a dog go so mad for apples and cucumber like Gromit. He's obsessed,
2023-02-05,marbotmusholla,Apple fanboy be like:,
2023-02-05,alanasin,@acgrayling Apple powered by the CCP and slave labour.,
2023-02-05,datguyovetthere,"@mzkjnky80 @totallynotretro I get Fifa commercials for everything, from HBO Max too Apple TV too Fifa and CoD.  Doesn't matter if it's for game sales or not. IMO ads as the first thing you see is not good.",
2023-02-05,aquamarina1987,"@nathaliejacoby1 If Kopperberg can make an alcohol free version of their spiced apple cider and Spain could give me a non-alcoholic Sangria, then yes, I think I could...",
2023-02-04,xwidep,New Mix Tape  I think therefore… A thought themed eclectic mix tape - January 2023  Apple -  https://t.co/h4gSpP6yMn  Spotify -  https://t.co/FZSRIFIkY2  Amazon -  https://t.co/va1ebkU7TG  https://t.co/Inbp84UknS,
2023-02-04,dcaureview,"Listen links for our review of the classic B:TAS episode, “Trial!” #DCAU #Batman #BTAS #DCComics   🍎 Apple Podcasts:  https://t.co/pOVkxLrAtB  ⚓️ Anchor:  https://t.co/YuW1QruJTl  🟢 Spotify:  https://t.co/Ul7dBz7SpF  📺 YouTube:  https://t.co/SrpupRE4OX  https://t.co/dKKSEQVM6b",
2023-02-04,grumpygolfer79,"@mscots41 Maybe the stubble , Adams apple and meat and 2 veg give it away 🤔",
2023-02-04,spamllama,i’m so glad apple added that feature where u can select text from an image bcus it works so well /s,
2023-02-04,cyrusisconfused,"windows apple music app finally, and it works 😍",
2023-02-04,jaseybabes2002,Humming bird bakery nutty apple loaf. Much lighter than expected no idea why it had strawberry jam in it  https://t.co/cZAqcv7kfv,
2023-02-04,natangwe_,I fuckin’ love that song. Can’t find it on Apple Music 🤦🏾‍♂️,
2023-02-04,lucylamplight,"@SoVeryBritish An apple crumble island surrounded by a moat of custard - not on top of the crumble, and I’ll have that five nights in a row please",
2023-02-04,jrsknights,just ordered me a apple watch hunni   https://t.co/Ih8v733Qvh,
2023-02-04,omar99hh,Yes twitter it's an apple  https://t.co/41lp18jXmz,
2023-02-04,mrdpa,"@techedrob Hey Rob is your Apple Watch course on Udemy still valid? Also looking at Swift and iOS dev, any you’d recommend?",
2023-02-04,gazflint1971,"@howtomen Why when ios is such a janky mess, ui has been stable for a few years now puts apple to shame",
2023-02-04,neverbeyme,@ekorfz Apple?,
2023-02-04,barnesyy19,@hopeuccino @Apple Omg I was just thinking about how I haven’t done a review in a minute!! But I also have tried stopping going bc it was just so much sugar lmaooo,
2023-02-04,leonbarrington,It better be on Apple Music in time for gym tomorrow @beyonce 😡,
2023-02-04,muslimtecomar,"@EmJoServices @Girirajjhawar07 Fundamentals never changed  Perception of that has changed  Will continue to change as we progress.  Except Islam. Every thing else is adapting to it.  One might ask why! I don't want those backwards people here!  ""Bro you get robbed of your apple&amp;want their heads on a platter",
2023-02-04,vbarber11,@Bestestgundog I have been round the garden today. Found 3 snowdrops and my 1 crocus is now 2. Only planted a few packets of assorted bulbs into a rough patch of garden around the apple tree and along the blackthorn hedge. Hoping to eventually get a woodland effect.,
2023-02-04,chris_alex,@mike50004 That’s nuts. Have you checked for 0.2% vouchers? That’s how generous Apple are 😫,
2023-02-04,legioxeliquid,"Limonata Apple 🍋 🍏 🍎    A tangy, green Apple and crisp, red Apple blended into a tall glass of traditional Lemonade from the Italian Amalfi Coast.   https://t.co/ChGLJNQz8k  https://t.co/1RzljiRmhb",
2023-02-04,8atgirl,very chill very cool apple juice is pretty yummh,
2023-02-04,8atgirl,"@CoIdCoIdHeart   HAPPY BDAY MISTER FREEZEEEE  You’re super slay, to being a year older 🎉  (mines apple juice dont worry)  https://t.co/PGdQ71in7J",
2023-02-04,earthtreeheal,I’m performing live this weekend 4th &amp; 5th Feb ‘23 @lizianevents #newark Well Being Show. Thanks for listening all around the world #spotify #applemusic #womeninmusic #nottsmusic #musicians #newagemusician @AppleMusic #@Spotify  https://t.co/gMgAO8L273,
2023-02-03,nadrictvplus,@arieel33 @the_afrogeek @AppleTV @RossierFanny @Lily_s_ennuie @AppleTVPlus Girl. Really ? Come on !! Cancel your shitty Netflix and come on the dark side of the Apple 😈,
2023-02-03,johndoe41051832,@DK_Able @elonmusk If you are a paid subscriber then they have an account number to credit you back. I wonder of Apple will take a 40% cut from iPhone users.,
2023-02-03,sasquatchinabag,"I wish @AppleMusic @Apple had an music lyric overlay on apps whilst listening and browsing on the device. For example, I’m perusing a book, but wish I could read the lyrics as they appear whilst reading and listening. Is that a pipe dream? Make it happen please 🙏",
2023-02-03,boycharioteer,"@Moonspinner55 I had Apple TV mainly because I just had to watch Asimov's Foundation, but I have just put this on and ""Shrinking"" appears to have Harrison Ford in it. TV series? 😮  https://t.co/GeuJbl7Cjz",
2023-02-03,billwnyc,RT jaybirdcom: Apple Music has expanded its catalog to over 100 million songs and has reached 935 million paid subscriptions - Click here to read more:  https://t.co/cV3QHfWVpq  https://t.co/74OEk5gW4C,
2023-02-03,addtothelist_,"Episode 3 of ""SHRINKING"" is now available on Apple TV+. It's called ""Fifteen Minutes"".  #Shrinking  https://t.co/JFPFvrzGoM",
2023-02-03,nigel73200304,@francesweetman it's called  apple,
2023-02-03,karenkmh2,@FreeStyleDiabet can you check your freestyle libre using your apple watch yet? Not just your phone ?,
2023-02-03,ioweyounathan,"As well as Satan, I'm doing apple cake and (for rhe first time) cherry bakewell",
2023-02-03,mpc_limited,"Happy #FinancialFactFriday ! Apple reported its earnings last night, making some worry over its share price potential in the future. It has seen stellar growth since its early days and many worry if that growth can continue - Did you know...  Capital at risk.  #wealthmanagement  https://t.co/F9ecmtiCMY",
